CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
4454	5787	-162.976	0.000	0.7584	0.000	0.000
4454	5630	-136.903	0.000	0.7095	0.000	0.000
4572	4652	-9.112	0.000	0.8109	0.000	0.000
4579	4624	-4.281	0.000	0.8868	0.000	0.000
4579	6278	-275.513	0.000	0.7512	0.000	0.000
4579	4667	-8.412	0.000	0.7133	0.000	0.000
4624	6278	-271.232	0.000	0.7148	0.000	0.000
4624	4667	-4.131	0.000	0.7148	0.000	0.000
4718	4765	-5.326	0.000	0.8373	0.000	0.000
4914	6388	-288.100	0.000	0.7491	0.000	0.000
5139	6431	-296.595	0.000	0.7772	0.000	0.000
5196	5259	-6.516	0.000	0.7032	0.000	0.000
5242	5290	-5.904	0.000	0.8253	0.000	0.000
5280	5282	-0.271	0.000	0.8009	0.000	0.000
5280	5313	-4.381	0.000	0.7175	0.000	0.000
5280	5343	-8.213	0.000	0.7026	0.000	0.000
5282	5313	-4.110	0.000	0.8058	0.000	0.000
5343	5350	-0.459	0.000	0.7303	0.000	0.000
5488	5518	-4.027	0.000	0.9218	0.000	0.000
5488	6479	-310.890	0.000	0.7684	0.000	0.000
5518	6492	-318.110	0.000	0.7586	0.000	0.000
5518	6486	-312.487	0.000	0.7540	0.000	0.000
5553	5595	-5.807	0.000	0.7229	0.000	0.000
5614	5630	-2.631	0.000	0.8401	0.000	0.000
5614	5871	-45.949	0.000	0.7088	0.000	0.000
5630	5871	-43.318	0.000	0.7822	0.000	0.000
5630	5787	-26.073	0.000	0.7299	0.000	0.000
5682	5709	-4.315	0.000	0.9265	0.000	0.000
5696	5697	-0.035	0.000	0.8255	0.000	0.000
5702	5733	-4.940	0.000	0.8253	0.000	0.000
5702	6506	-321.838	0.000	0.7531	0.000	0.000
5713	5750	-5.738	0.000	0.7437	0.000	0.000
5733	6506	-316.898	0.000	0.7641	0.000	0.000
5787	5871	-17.245	0.000	0.7736	0.000	0.000
5858	5877	-4.960	0.000	0.8449	0.000	0.000
5858	6522	-330.050	0.000	0.7587	0.000	0.000
5858	6519	-326.389	0.000	0.7130	0.000	0.000
5883	5923	-8.038	0.000	0.7966	0.000	0.000
5997	6033	-8.511	0.000	0.8830	0.000	0.000
6064	6096	-5.956	0.000	0.9283	0.000	0.000
6116	6525	-275.073	0.000	0.7069	0.000	0.000
6132	6150	-6.252	0.000	0.7699	0.000	0.000
6185	6215	-8.617	0.000	0.7266	0.000	0.000
6207	6215	-4.206	0.000	0.7679	0.000	0.000
6228	6258	-10.905	0.000	0.8489	0.000	0.000
6228	6242	-5.392	0.000	0.8117	0.000	0.000
6242	6258	-5.513	0.000	0.9203	0.000	0.000
6248	6262	-5.309	0.000	0.8155	0.000	0.000
6251	6455	-113.379	0.000	0.7434	0.000	0.000
6260	6262	-0.183	0.000	0.7114	0.000	0.000
6262	6282	-5.618	0.000	0.7766	0.000	0.000
6267	6282	-5.419	0.000	0.7786	0.000	0.000
6302	6311	-3.592	0.000	0.8122	0.000	0.000
6347	6357	-5.713	0.000	0.7402	0.000	0.000
6433	6437	-3.195	0.000	0.7801	0.000	0.000
6455	6459	-6.197	0.000	0.9422	0.000	0.000
6486	6492	-5.623	0.000	0.9608	0.000	0.000
6518	6524	-5.944	0.000	0.9283	0.000	0.000
6519	6522	-3.661	0.000	0.8473	0.000	0.000
6519	6525	-5.707	0.000	0.7472	0.000	0.000
